lineage,precision,recall,f1_score,support
B.1.471,0.9923,0.9917,0.9917,122
B.1.473,0.8,0.8,0.8,14
B.1.474,1.0,0.9800000000000001,0.9888999999999999,54
B.1.475,1.0,1.0,1.0,7
B.1.478,1.0,0.9667,0.9800000000000001,21
B.1.479,1.0,1.0,1.0,7
B.1.480,0.975,0.975,0.9714,33
B.1.482,0.8571428571428571,0.8571428571428571,0.8571428571428571,7
B.1.483,1.0,1.0,1.0,9
B.1.485,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
B.1.486,1.0,1.0,1.0,9
B.1.487,0.975,0.9,0.9190999999999999,22
B.1.489,0.25922222222222224,0.3333333333333333,0.2777777777777778,9
B.1.490,0.9166666666666666,1.0,0.9333333333333333,9
B.1.492,1.0,0.9,0.9334,21
B.1.493,1.0,1.0,1.0,9
B.1.494,0.9,0.9,0.9,11
B.1.495,1.0,1.0,1.0,23
B.1.496,0.8,0.8,0.8,5
B.1.497,1.0,0.998,0.999,496
B.1.498,1.0,0.9667,0.9800000000000001,23
B.1.499,1.0,1.0,1.0,126
B.1.499.1,1.0,1.0,1.0,5
B.1.500,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
B.1.501,1.0,0.86,0.9030999999999999,51
B.1.502,1.0,1.0,1.0,11
B.1.503,1.0,1.0,1.0,84
B.1.504,0.95,1.0,0.9667,20
B.1.505,0.9667,0.95,0.9466999999999999,24
B.1.506,1.0,0.95,0.9667,20
B.1.507,1.0,1.0,1.0,39
B.1.508,1.0,1.0,1.0,12
B.1.509,0.9940999999999999,0.9936,0.9937999999999999,312
B.1.510,0.7221666666666667,0.8333333333333334,0.75,6
B.1.511,0.9,0.95,0.9000999999999999,11
B.1.513,0.9167,1.0,0.9466999999999999,16
B.1.515,0.95,0.9,0.9000999999999999,12
B.1.516,0.9933,0.9791000000000001,0.9857999999999999,141
B.1.517,1.0,0.9847999999999999,0.992,262
B.1.517.1,1.0,1.0,1.0,28
B.1.520,0.6111111111111112,0.6666666666666666,0.6296666666666666,8
B.1.521,0.9875,0.9285000000000002,0.9535,70
B.1.523,0.9763,0.9908999999999999,0.9826,106
B.1.524,0.9909000000000001,1.0,0.9952,100
B.1.525,0.9742000000000001,1.0,0.9861000000000001,98
B.1.526,0.9808999999999999,0.9933,0.9868,148
B.1.527,0.9606999999999999,0.9833000000000001,0.9689,55
B.1.528,1.0,1.0,1.0,12
B.1.529,1.0,1.0,1.0,9
B.1.530,1.0,1.0,1.0,8
B.1.531,0.75,0.75,0.75,8
B.1.532,0.9833000000000001,1.0,0.9908999999999999,50
B.1.533,0.5833999999999999,0.8,0.642,11
B.1.534,0.9167,0.95,0.93,15
B.1.535,0.7,0.8,0.7333999999999999,11
B.1.536,1.0,1.0,1.0,19
B.1.537,1.0,0.9,0.9334,20
B.1.538,0.8709,0.85,0.8146000000000001,21
B.1.539,1.0,1.0,1.0,9
B.1.540,0.95,1.0,0.9714,29
B.1.541,1.0,0.9589000000000001,0.9766,77
B.1.542,1.0,1.0,1.0,8
B.1.543,1.0,1.0,1.0,20
B.1.544,1.0,0.8667,0.9057000000000001,34
B.1.546,0.9274000000000001,0.8833,0.9007999999999999,61
B.1.548,1.0,0.9,0.9334,20
B.1.549,1.0,1.0,1.0,22
B.1.550,1.0,0.9667,0.9800000000000001,30
B.1.551,0.9778,0.9875,0.9814999999999999,79
B.1.552,1.0,1.0,1.0,16
B.1.554,1.0,0.9333,0.95,26
B.1.555,0.9334,1.0,0.96,21
B.1.556,1.0,1.0,1.0,48
B.1.557,1.0,1.0,1.0,3
B.1.558,1.0,0.9299999999999999,0.9598000000000001,56
B.1.559,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
B.1.560,0.8967,0.925,0.9046,38
B.1.561,1.0,0.9911999999999999,0.9955,227
B.1.562,0.9,0.9,0.9,11
B.1.564,0.9689,0.9110000000000001,0.9378,459
B.1.564.1,1.0,1.0,1.0,73
B.1.565,1.0,0.9952,0.9975999999999999,206
B.1.566,0.75,0.7,0.7001,16
B.1.567,1.0,0.9141999999999999,0.9483,71
B.1.568,1.0,0.9875,0.9933,80
B.1.569,0.8,0.75,0.7666999999999999,16
B.1.570,1.0,1.0,1.0,12
B.1.571,1.0,1.0,1.0,24
B.1.572,0.95,1.0,0.9667,14
B.1.573,0.9800000000000001,1.0,0.9888999999999999,36
B.1.574,1.0,0.9856999999999999,0.9923,69
B.1.575,0.9921,1.0,0.9961,1121
B.1.575.1,1.0,0.9818,0.99,115
B.1.575.2,1.0,1.0,1.0,16
B.1.576,0.9603999999999999,0.9400000000000001,0.9490999999999999,202
B.1.577,1.0,0.97,0.9841000000000001,199
B.1.578,0.9,0.75,0.8000999999999999,17
B.1.579,0.7849,0.8167,0.7575,22
B.1.580,0.9,0.8167,0.8467,29
B.1.581,0.9,0.7001000000000001,0.77,31
B.1.582,0.8924,0.9158000000000002,0.8975,320
B.1.585,0.8,0.8,0.8,5
B.1.586,0.9800000000000001,1.0,0.9888999999999999,34
B.1.587,1.0,0.9856999999999999,0.9923,70
B.1.588,1.0,1.0,1.0,135
B.1.588.1,1.0,1.0,1.0,6
B.1.589,0.9667,0.96,0.9550000000000001,49
B.1.590,1.0,0.9,0.9349000000000001,50
B.1.591,1.0,1.0,1.0,37
B.1.593,0.9,0.9,0.9,23
B.1.594,0.8,0.8,0.8,13
B.1.595,0.9551999999999999,0.9655999999999999,0.9602,788
B.1.595.1,1.0,1.0,1.0,57
B.1.595.2,1.0,0.95,0.9667,14
B.1.595.3,1.0,1.0,1.0,19
B.1.595.4,0.9800000000000001,0.9800000000000001,0.9777999999999999,44
B.1.596,0.7958000000000001,0.5989000000000001,0.6724,316
B.1.597,1.0,0.85,0.8967,26
B.1.598,1.0,1.0,1.0,11
B.1.599,1.0,0.95,0.9667,37
B.1.6,1.0,1.0,1.0,24
B.1.600,0.93,0.8949999999999999,0.8915,44
B.1.601,1.0,1.0,1.0,8
B.1.602,1.0,0.9417,0.9657,34
B.1.603,1.0,1.0,1.0,12
B.1.604,0.8571428571428571,0.8571428571428571,0.8571428571428571,7
B.1.605,1.0,0.9667,0.9800000000000001,25
B.1.606,1.0,0.85,0.8971,41
B.1.607,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
B.1.609,0.937,0.9593,0.9467000000000001,270
B.1.610,1.0,0.9875,0.9933,85
B.1.611,1.0,1.0,1.0,10
B.1.612,0.8141,0.8623000000000001,0.8325000000000001,93
B.1.613,0.8888888888888888,0.8888888888888888,0.8888888888888888,8
B.1.614,1.0,1.0,1.0,8
B.1.616,1.0,1.0,1.0,6
B.1.617.1,1.0,1.0,1.0,327
B.1.617.2,0.9337,0.9353,0.9343999999999999,3645
B.1.617.3,1.0,1.0,1.0,14
B.1.618,1.0,1.0,1.0,49
B.1.619,0.9955999999999999,1.0,0.9978,436
B.1.619.1,1.0,0.9978,0.9989000000000001,444
B.1.620,1.0,1.0,1.0,25
B.1.621,1.0,1.0,1.0,13
B.1.621.1,0.9856999999999999,1.0,0.9923,53
B.1.622,0.95,1.0,0.9667,14
B.1.623,1.0,0.9981,0.999,524
B.1.625,1.0,1.0,1.0,72
B.1.626,1.0,1.0,1.0,27
B.1.627,1.0,0.9875,0.9933,82
B.1.629,1.0,1.0,1.0,20
B.1.630,1.0,1.0,1.0,24
B.1.631,1.0,0.9800000000000001,0.9888999999999999,54
B.1.632,1.0,1.0,1.0,28
B.1.633,1.0,1.0,1.0,9
B.1.634,1.0,0.9632999999999999,0.9798,56
B.1.635,1.0,1.0,1.0,40
B.1.636,1.0,0.9833000000000001,0.9909000000000001,59
B.1.637,0.975,1.0,0.9856999999999999,23
B.1.638,0.9,0.9,0.9,10
B.1.639,1.0,1.0,1.0,21
B.1.640,1.0,0.9,0.9334,17
B.1.67,0.8571428571428571,0.8571428571428571,0.8571428571428571,6
B.1.69,1.0,1.0,1.0,8
B.1.70,1.0,1.0,1.0,8
B.1.76,1.0,1.0,1.0,19
B.1.77,1.0,1.0,1.0,6
B.1.78,0.8966999999999998,0.975,0.9213000000000001,33
B.1.8,0.9751,1.0,0.9870999999999999,108
B.1.81,0.95,1.0,0.9667,12
B.1.83,1.0,1.0,1.0,15
B.1.84,0.975,1.0,0.9856999999999999,25
B.1.88.1,1.0,0.96,0.9778,52
B.1.9,0.9667,0.9875,0.9756,80
B.1.9.1,0.9,0.9,0.9,11
B.1.9.2,1.0,1.0,1.0,7
B.1.9.3,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
B.1.9.4,1.0,1.0,1.0,19
B.1.9.5,0.9875,0.9523000000000001,0.9674000000000001,66
B.1.91,0.968,0.9909000000000001,0.9783,113
B.1.93,0.9936,0.9968,0.9952,304
B.1.94,0.7167,0.9,0.7800999999999999,11
B.1.96,1.0,0.95,0.9667,15
B.1.97,0.8888888888888888,0.8888888888888888,0.8888888888888888,8
B.10,0.9714,0.9800000000000001,0.9722000000000002,48
B.11,0.9600000000000002,1.0,0.9777999999999999,43
B.12,1.0,1.0,1.0,23
B.13,1.0,1.0,1.0,9
B.15,0.95,0.95,0.9334,16
B.18,0.95,1.0,0.9667,10
B.19,0.9,0.9,0.9,13
B.20,1.0,1.0,1.0,12
B.23,0.975,0.9552999999999999,0.9639999999999999,112
B.26,0.9000999999999999,0.9,0.8733999999999998,20
B.27,0.9,0.9,0.9,18
B.28,0.9888999999999999,1.0,0.9940999999999999,80
B.29,0.9639,0.9856999999999999,0.9730000000000001,73
B.3,0.9879,0.9907,0.9892,320
B.3.1,0.9938,0.9799,0.9865999999999999,148
B.30,1.0,1.0,1.0,27
B.31,1.0,0.9639,0.9806999999999999,84
B.32,1.0,1.0,1.0,13
B.33,1.0,1.0,1.0,18
B.34,1.0,1.0,1.0,18
B.35,1.0,0.95,0.9714,36
B.36,1.0,1.0,1.0,8
B.37,1.0,1.0,1.0,16
B.38,1.0,1.0,1.0,18
B.39,0.9858,0.9769,0.9803,129
B.4,0.953,0.9836,0.9663000000000002,185
B.4.1,1.0,1.0,1.0,9
B.4.2,1.0,1.0,1.0,11
B.4.4,0.75,0.8,0.7666999999999999,15
B.4.5,1.0,1.0,1.0,29
B.4.6,1.0,1.0,1.0,23
B.4.7,1.0,0.9600000000000002,0.9777999999999999,48
B.4.8,1.0,1.0,1.0,9
B.40,0.994,0.9867000000000001,0.9903000000000001,673
B.41,0.9600000000000002,1.0,0.9777999999999999,40
B.43,0.9667,0.8,0.8468,21
B.45,1.0,0.9888999999999999,0.9941000000000001,95
B.49,0.7,0.8,0.7333999999999999,5
B.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
B.50,0.875,0.875,0.875,8
B.52,1.0,0.95,0.9667,42
B.53,1.0,1.0,1.0,17
B.55,0.8571000000000002,0.8855999999999999,0.8555999999999999,65
B.56,0.9667,1.0,0.9800000000000001,22
B.57,1.0,0.9667,0.9800000000000001,26
B.58,1.0,1.0,1.0,27
B.6,0.96,0.9525999999999998,0.9558,360
B.6.1,1.0,1.0,1.0,18
B.6.2,1.0,1.0,1.0,4
B.6.3,1.0,0.9,0.9334,18
B.6.4,1.0,0.95,0.9667,12
B.6.6,0.9818999999999999,0.9884999999999999,0.9850999999999999,433
B.6.8,0.95,1.0,0.9667,16
B.61,0.9178000000000001,0.9833000000000001,0.9432,55
C.1,0.9832000000000001,0.9770000000000001,0.9797,176
C.1.1,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
C.1.2,1.0,0.95,0.9667,13
C.11,1.0,1.0,1.0,44
C.12,1.0,1.0,1.0,27
C.13,1.0,1.0,1.0,16
C.14,0.9833000000000001,0.96,0.9659000000000001,52
C.16,0.9937999999999999,1.0,0.9968,147
C.17,0.3888888888888889,0.4444444444444444,0.40744444444444444,9
C.18,1.0,1.0,1.0,82
C.19,1.0,1.0,1.0,6
C.2,1.0,1.0,1.0,20
C.2.1,1.0,0.95,0.9667,20
C.20,1.0,1.0,1.0,8
C.22,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
C.23,0.9550000000000001,0.9,0.9163,42
C.26,1.0,1.0,1.0,49
C.27,1.0,1.0,1.0,20
C.28,1.0,1.0,1.0,11
C.29,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
C.3,1.0,1.0,1.0,25
C.30,1.0,0.9949999999999999,0.9974000000000001,203
C.30.1,1.0,1.0,1.0,45
C.31,1.0,0.95,0.9667,15
C.32,0.8667,0.9,0.8800000000000001,13
C.35,0.9643,0.9707000000000001,0.9657000000000002,235
C.36,0.9741,0.9682999999999999,0.969,159
C.36.1,1.0,1.0,1.0,13
C.36.2,1.0,1.0,1.0,16
C.36.3,0.9869,0.9699,0.9779,299
C.36.3.1,1.0,0.9334,0.9600000000000002,27
C.37,0.9929,0.9888999999999999,0.9907,269
C.37.1,0.9800000000000001,0.9399999999999998,0.9550000000000001,49
C.38,1.0,0.9833000000000001,0.9909000000000001,60
C.39,1.0,1.0,1.0,11
C.4,1.0,1.0,1.0,22
C.40,0.9,0.9,0.9,10
C.5,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
C.6,0.5,0.6666666666666666,0.5556666666666666,3
C.7,1.0,1.0,1.0,9
C.8,0.9800000000000001,1.0,0.9888999999999999,44
C.9,1.0,0.8833,0.9167,26
D.2,0.9994999999999999,1.0,0.9997999999999999,2209
D.3,1.0,1.0,1.0,13
D.4,1.0,1.0,1.0,3
D.5,1.0,1.0,1.0,28
G.1,1.0,1.0,1.0,8
K.1,0.875,0.875,0.875,8
K.2,1.0,1.0,1.0,13
K.3,1.0,1.0,1.0,22
L.1,1.0,1.0,1.0,60
L.2,1.0,0.95,0.9667,18
L.3,1.0,1.0,1.0,60
L.4,1.0,1.0,1.0,8
M.1,1.0,1.0,1.0,10
M.2,1.0,1.0,1.0,8
M.3,1.0,1.0,1.0,8
N.1,0.8,0.9,0.8333999999999999,12
N.10,1.0,1.0,1.0,12
N.2,0.9285714285714286,1.0,0.9524285714285714,7
N.3,0.9800000000000001,1.0,0.9888999999999999,39
N.4,0.99,0.9778,0.9822,89
N.5,1.0,1.0,1.0,53
N.6,1.0,0.9833000000000001,0.9909000000000001,59
N.7,1.0,1.0,1.0,8
N.8,0.9166666666666666,1.0,0.9445,6
N.9,0.9667,0.9667,0.96,27
P.1,0.9919,0.9938,0.9925999999999998,20173
P.1.1,0.9937999999999999,0.9861000000000001,0.9899999999999999,1152
P.1.10,0.9857999999999999,0.9911999999999999,0.9884000000000001,1038
P.1.10.1,1.0,0.95,0.9667,16
P.1.10.2,0.9,0.9,0.9,12
P.1.11,0.8916999999999999,0.9667,0.9124000000000001,27
P.1.12,0.9222000000000001,0.8986000000000001,0.9015000000000001,395
P.1.13,1.0,0.9924,0.9961,391
P.1.14,0.9927999999999999,0.9873999999999998,0.9901000000000002,3852
P.1.15,0.9964999999999999,0.9875,0.9919,1757
P.1.16,0.9877999999999998,0.9955,0.9914999999999999,875
P.1.17,0.9893000000000001,0.9947999999999999,0.9917999999999999,1824
P.1.17.1,1.0,0.99,0.9946999999999999,205
P.1.2,0.9955,0.9861000000000001,0.9902999999999998,426
P.1.3,0.9,0.9,0.9,11
P.1.4,1.0,0.9715,0.9843,141
P.1.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,7
P.1.6,1.0,1.0,1.0,93
P.1.7,0.9982,0.9944,0.9961,1059
P.1.8,0.9852000000000001,0.9923,0.9883,123
P.1.9,1.0,1.0,1.0,100
