lineage,precision,recall,f1_score,support
B.1.23,0.9933,1.0,0.9966000000000002,134
B.1.230,0.9714,0.7028000000000001,0.7932,147
B.1.231,1.0,1.0,1.0,27
B.1.232,1.0,1.0,1.0,133
B.1.233,1.0,1.0,1.0,29
B.1.234,0.99,0.9763999999999999,0.9821,84
B.1.235,1.0,0.9974000000000001,0.9987999999999999,781
B.1.236,0.9933,0.9852000000000001,0.9888999999999999,136
B.1.237,0.9371,0.905,0.9029,45
B.1.238,0.96,0.9833000000000001,0.9658999999999999,65
B.1.239,0.8457000000000001,1.0,0.8992000000000001,50
B.1.240,0.9934,0.9932000000000001,0.9933000000000002,441
B.1.241,0.9915,0.9911999999999999,0.9912000000000001,225
B.1.242,1.0,0.975,0.9856999999999999,42
B.1.243,0.9738,0.9629000000000001,0.9673,512
B.1.245,1.0,0.9,0.9334,21
B.1.246,0.5416,0.2533,0.31639999999999996,98
B.1.247,0.861,0.44029999999999997,0.5813,343
B.1.248,1.0,1.0,1.0,28
B.1.249,1.0,1.0,1.0,16
B.1.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,7
B.1.250,1.0,1.0,1.0,58
B.1.251,1.0,1.0,1.0,44
B.1.252,0.9099999999999999,0.975,0.9399,122
B.1.253,0.9800000000000001,0.975,0.9746,43
B.1.254,1.0,0.95,0.9667,25
B.1.255,0.6611,0.9556000000000001,0.7767999999999999,610
B.1.256,0.9856999999999999,1.0,0.9923,58
B.1.258,0.9799,0.9834999999999999,0.9814999999999999,1586
B.1.258.1,1.0,1.0,1.0,16
B.1.258.10,0.7666999999999999,0.5584,0.6105,36
B.1.258.11,0.9894999999999999,0.9853999999999999,0.9872,272
B.1.258.12,1.0,0.975,0.9856999999999999,86
B.1.258.2,1.0,0.9887999999999998,0.9942,178
B.1.258.3,1.0,1.0,1.0,346
B.1.258.4,1.0,1.0,1.0,136
B.1.258.5,1.0,1.0,1.0,67
B.1.258.6,1.0,1.0,1.0,42
B.1.258.7,1.0,0.9963000000000001,0.9981,267
B.1.258.8,0.275,0.35,0.2734,13
B.1.258.9,1.0,1.0,1.0,131
B.1.26,0.0,0.0,0.0,7
B.1.260,0.2,0.0666,0.1,32
B.1.261,0.55,0.45,0.48339999999999994,14
B.1.262,0.52,0.5166999999999999,0.44530000000000003,32
B.1.263,0.8734,1.0,0.9170999999999999,19
B.1.264,0.975,1.0,0.9856999999999999,31
B.1.265,0.6132,0.9240999999999999,0.7342000000000001,542
B.1.266,0.9800000000000001,1.0,0.9888999999999999,40
B.1.267,0.9667,0.95,0.9467000000000001,18
B.1.268,0.9718,1.0,0.9846999999999999,88
B.1.269,1.0,1.0,1.0,8
B.1.270,0.8,0.8,0.8,13
B.1.271,1.0,1.0,1.0,18
B.1.272,0.725,0.49169999999999997,0.5740000000000001,38
B.1.273,0.9,0.85,0.8667,18
B.1.274,0.9466000000000001,0.8765000000000001,0.9067000000000001,57
B.1.275,0.8771000000000001,0.5347,0.6511999999999999,152
B.1.276,0.975,0.9952,0.9843,208
B.1.277,0.8667999999999999,1.0,0.9199999999999999,23
B.1.280,1.0,0.9867000000000001,0.9929,146
B.1.281,0.8667,0.65,0.7135,20
B.1.282,1.0,1.0,1.0,66
B.1.283,0.9056000000000001,0.9023,0.8924,61
B.1.284,1.0,1.0,1.0,34
B.1.285,0.6834,0.6667,0.6268,21
B.1.286,0.95,1.0,0.9667,21
B.1.287,0.9349999999999999,1.0,0.9606999999999999,33
B.1.288,0.35,0.35,0.35,17
B.1.289,0.8067,0.9,0.8039,16
B.1.291,1.0,1.0,1.0,8
B.1.292,0.875,1.0,0.9238,26
B.1.293,0.9,0.8,0.8333999999999999,21
B.1.294,1.0,0.9667,0.9800000000000001,28
B.1.295,0.3333333333333333,0.3333333333333333,0.3333333333333333,7
B.1.296,0.6083999999999999,0.55,0.5434,24
B.1.297,0.9,0.75,0.8001000000000001,18
B.1.297.1,1.0,1.0,1.0,12
B.1.298,0.9667,0.85,0.8800999999999999,17
B.1.299,0.9417,0.825,0.8562,39
B.1.3,0.9932000000000001,0.9649000000000001,0.9783,1487
B.1.3.1,0.8486,0.998,0.9153,499
B.1.3.2,1.0,1.0,1.0,14
B.1.3.3,0.975,1.0,0.9856999999999999,25
B.1.3.4,1.0,0.9,0.9221999999999999,44
B.1.300,1.0,1.0,1.0,35
B.1.301,0.9338000000000001,0.8771999999999999,0.8958,106
B.1.302,0.8946,1.0,0.9412,90
B.1.303,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
B.1.304,0.915,1.0,0.9524000000000001,35
B.1.305,0.9778,0.95,0.9541999999999999,68
B.1.306,0.95,0.95,0.9334,23
B.1.307,0.9,0.9,0.9,9
B.1.308,0.975,1.0,0.9856999999999999,26
B.1.309,0.75,0.75,0.7333999999999999,12
B.1.310,0.9667,1.0,0.9800000000000001,12
B.1.311,0.7,0.7,0.7,11
B.1.312,1.0,0.9667,0.9800000000000001,32
B.1.313,1.0,0.6809000000000001,0.7819,62
B.1.314,0.8055,0.9199999999999999,0.8501,49
B.1.315,0.8966999999999998,0.775,0.8117000000000001,40
B.1.316,1.0,1.0,1.0,5
B.1.317,0.8167,1.0,0.8855999999999999,32
B.1.318,1.0,1.0,1.0,10
B.1.319,0.8764000000000001,0.8150000000000001,0.8321000000000002,49
B.1.320,0.7757999999999999,1.0,0.8674,168
B.1.321,0.8833,1.0,0.9167,13
B.1.322,0.6334000000000001,0.7167,0.6367,21
B.1.323,0.4,0.4,0.4,11
B.1.324,0.9097000000000002,0.95,0.9263000000000001,60
B.1.325,0.9488,0.9099999999999999,0.9277,233
B.1.326,1.0,1.0,1.0,35
B.1.328,0.9833000000000001,0.8299999999999998,0.8854,49
B.1.329,0.975,0.9833000000000001,0.9766,58
B.1.330,0.89,0.9667,0.9085000000000001,29
B.1.331,0.9294,1.0,0.9612,81
B.1.332,0.7491,0.6839,0.6839999999999999,75
B.1.333,0.7803,0.7279,0.7491,87
B.1.334,0.9667,1.0,0.9800000000000001,18
B.1.335,1.0,1.0,1.0,45
B.1.336,0.9800000000000001,0.99,0.9847000000000001,93
B.1.337,0.8167,0.8,0.7800999999999999,20
B.1.338,1.0,1.0,1.0,91
B.1.339,0.9,1.0,0.9334,11
B.1.340,1.0,1.0,1.0,38
B.1.341,0.9667,1.0,0.9800000000000001,21
B.1.342,0.791625,0.875,0.8125,8
B.1.343,0.8167,0.75,0.7501,23
B.1.344,0.16666666666666666,0.2222222222222222,0.18522222222222223,8
B.1.346,0.6182,0.7524,0.6523,68
B.1.347,1.0,0.875,0.9285,39
B.1.348,0.7987,0.9667,0.8688,52
B.1.349,0.9,0.9800000000000001,0.9223000000000001,48
B.1.35,0.9418000000000001,0.985,0.9612,199
B.1.350,0.8781000000000001,1.0,0.9258000000000001,63
B.1.351,0.9667,0.9667,0.96,23
B.1.352,0.9667,1.0,0.9800000000000001,21
B.1.353,0.3167,0.3,0.2967,20
B.1.354,0.64,0.8,0.6904999999999999,13
B.1.355,1.0,1.0,1.0,17
B.1.356,0.9882000000000002,0.9853999999999999,0.9867000000000001,341
B.1.357,0.95,1.0,0.9667,13
B.1.358,0.6648000000000001,0.8625,0.7366,80
B.1.359,0.9583,0.9333,0.9342,58
B.1.36,0.9262,0.8635999999999999,0.8924,1020
B.1.36.1,0.7093,0.8326999999999998,0.757,102
B.1.36.10,1.0,0.95,0.9667,20
B.1.36.11,0.9,0.9,0.9,11
B.1.36.12,0.9800000000000001,1.0,0.9894000000000001,96
B.1.36.13,0.9800000000000001,0.9550000000000001,0.9635,43
B.1.36.14,0.825,0.9,0.8400000000000001,10
B.1.36.15,0.45,0.5,0.4667,10
B.1.36.16,0.9556000000000001,0.9875,0.9673999999999999,83
B.1.36.17,0.9993000000000001,0.9964999999999999,0.9976,1343
B.1.36.3,0.9167,0.95,0.9133999999999999,20
B.1.36.4,1.0,1.0,1.0,9
B.1.36.5,0.4,0.1833,0.25010000000000004,21
B.1.36.6,0.2133,1.0,0.3447,30
B.1.36.7,1.0,1.0,1.0,10
B.1.36.8,0.9833000000000001,0.9833000000000001,0.9818,53
B.1.36.9,1.0,0.9852000000000001,0.9923,134
B.1.360,0.9875,1.0,0.9933,71
B.1.361,0.9721,0.9602,0.9648999999999999,578
B.1.362,1.0,1.0,1.0,162
B.1.363,0.9978,0.9778,0.9873000000000001,445
B.1.364,0.93,0.95,0.9317,37
B.1.365,1.0,0.975,0.9856999999999999,46
B.1.366,0.9833000000000001,1.0,0.9908999999999999,99
B.1.367,0.9914,0.9864,0.9887,440
B.1.368,0.9949999999999999,0.9274000000000001,0.958,221
B.1.369,0.9883,0.9888999999999999,0.9884999999999999,1267
B.1.37,0.9625,1.0,0.9769,57
B.1.370,0.901,0.8877,0.893,2032
B.1.371,0.9689,0.7859999999999999,0.8649000000000001,256
B.1.372,0.9818,1.0,0.99,86
B.1.373,1.0,1.0,1.0,8
B.1.374,0.7745000000000001,0.9025000000000001,0.8311999999999999,4655
B.1.374.1,0.2333,0.1499,0.1733,24
B.1.38,1.0,1.0,1.0,30
B.1.39,0.9958,0.9741,0.9842999999999998,231
B.1.40,0.7827999999999999,0.975,0.8642,44
B.1.44,1.0,0.9818,0.99,108
B.1.5,0.7956000000000001,0.8835,0.8368,5726
B.1.5.12,0.8823000000000001,0.7908000000000001,0.8222000000000002,177
B.1.5.16,0.6481111111111111,0.8888888888888888,0.7223333333333334,9
B.1.5.19,1.0,0.9,0.9334,24
B.1.5.21,0.9833000000000001,1.0,0.9908999999999999,50
B.1.5.27,0.2857142857142857,0.2857142857142857,0.2857142857142857,7
B.1.5.29,0.9667,0.9,0.9134,21
B.1.5.30,1.0,1.0,1.0,51
B.1.5.31,0.9,0.8,0.8333999999999999,13
B.1.5.32,0.9333,0.95,0.9167,14
B.1.5.33,0.6,0.5333,0.55,21
B.1.5.34,0.0,0.0,0.0,6
B.1.5.35,0.0,0.0,0.0,8
B.1.5.36,0.5714285714285714,0.5714285714285714,0.5714285714285714,7
B.1.6,0.9266,1.0,0.9596,44
B.1.67,1.0,1.0,1.0,25
B.1.69,1.0,1.0,1.0,23
B.1.70,1.0,1.0,1.0,36
B.1.74,0.9250999999999999,0.9625,0.9407,80
B.1.75,0.8239000000000001,0.9571,0.8701000000000001,74
B.1.76,0.8751,0.8335000000000001,0.8458,28
B.1.77,0.9334,1.0,0.9600000000000002,22
B.1.78,0.9320999999999999,0.9260999999999999,0.9205,66
B.1.79,1.0,0.8834,0.9314,34
B.1.8,0.8884000000000001,0.7672,0.818,141
B.1.8.2,0.9067000000000001,1.0,0.9370999999999998,24
B.1.81,0.96,1.0,0.975,33
B.1.82,0.9667,1.0,0.9800000000000001,40
B.1.83,0.65,0.7,0.6667,17
B.1.84,1.0,0.9167,0.9514000000000001,33
B.1.88,0.9917,0.9908999999999999,0.9908999999999999,110
B.1.88.1,1.0,0.9856999999999999,0.9923,72
B.1.89,0.7,0.45,0.5335,21
B.1.9,0.9960000000000001,0.9749000000000001,0.9846999999999999,242
B.1.90,0.975,0.9000999999999999,0.9257,33
B.1.91,0.9796000000000001,1.0,0.9896,379
B.1.93,0.9958,0.9968,0.9964000000000001,946
B.1.94,0.8667,0.9,0.8800000000000001,18
B.1.95,0.7833,0.75,0.7567,20
B.1.96,0.8867,0.93,0.8911999999999999,42
B.1.97,0.9667,1.0,0.9800000000000001,38
B.1.98,0.9451,0.9934000000000001,0.9686,603
B.10,0.9751,0.9908999999999999,0.9823000000000001,112
B.11,0.9561,0.9868,0.9701000000000001,305
B.12,1.0,1.0,1.0,63
B.13,0.95,0.95,0.9334,21
B.15,1.0,0.975,0.9856999999999999,41
B.18,0.74,0.8,0.7571,14
B.19,0.7,0.8,0.7333999999999999,16
B.20,0.9,0.8,0.8333999999999999,20
B.23,0.8346,0.9667,0.8941000000000001,120
B.26,0.4683,0.4667,0.4378,26
B.27,0.9856999999999999,1.0,0.9923,58
B.28,0.9926999999999999,1.0,0.9963000000000001,263
B.29,0.9626999999999999,0.9814,0.9710000000000001,216
B.3,0.9904999999999999,0.9793999999999998,0.9847999999999999,825
B.3.1,0.9811,0.9940000000000001,0.9874,508
B.30,1.0,1.0,1.0,48
B.31,0.9914000000000002,0.9862,0.9885999999999999,215
B.32,1.0,0.9333,0.95,24
B.33,0.9833000000000001,0.8300000000000001,0.8846,46
B.34,1.0,1.0,1.0,65
B.35,0.9888999999999999,0.9888999999999999,0.9882,87
B.36,1.0,1.0,1.0,10
B.37,1.0,1.0,1.0,27
B.38,0.0,0.0,0.0,8
B.39,0.9380000000000001,0.6246,0.7461999999999999,226
B.4,0.9763,0.9762000000000001,0.9759,375
B.4.1,1.0,1.0,1.0,27
B.4.2,1.0,1.0,1.0,15
B.4.4,1.0,0.9667,0.9800000000000001,37
B.4.5,0.9888999999999999,0.975,0.9798,72
B.40,0.9282999999999999,0.9728000000000001,0.9496999999999998,2441
B.41,0.9917,0.9908999999999999,0.9908999999999999,116
B.42,0.0,0.0,0.0,4
B.43,0.93,1.0,0.9602999999999999,33
B.44,1.0,1.0,1.0,10
B.45,0.9960000000000001,1.0,0.998,245
B.46,1.0,0.9667,0.9800000000000001,32
B.48,0.9658999999999999,0.8427999999999999,0.8954000000000001,134
B.49,1.0,1.0,1.0,19
B.5,0.6334,0.7,0.6599999999999999,13
B.51,1.0,1.0,1.0,22
B.52,0.9714,0.9547000000000001,0.9601000000000001,65
B.53,0.9856999999999999,1.0,0.9923,58
B.54,0.7317,0.4375,0.5388,78
B.6,0.9708999999999998,0.9734999999999999,0.9718,714
B.6.1,1.0,0.8167,0.8801,21
B.6.2,1.0,1.0,1.0,14
B.6.3,0.9,0.7834,0.8267,23
B.6.4,0.95,0.8667,0.8966999999999998,22
B.6.5,0.8,0.8,0.8,10
B.6.6,0.9884999999999999,0.9955999999999999,0.9921000000000001,927
C.1,0.9757000000000001,0.9838000000000001,0.9794,186
C.11,1.0,1.0,1.0,10
C.12,0.764,0.7733000000000001,0.7592,56
C.13,0.9334,0.95,0.9267,20
C.14,0.9199999999999999,0.85,0.8572000000000001,44
C.15,1.0,1.0,1.0,27
C.2,1.0,1.0,1.0,14
C.3,0.9929,1.0,0.9963,126
C.4,0.2857142857142857,0.2857142857142857,0.2857142857142857,7
C.5,0.875,0.875,0.875,7
C.7,1.0,1.0,1.0,28
C.8,0.9875,0.9833000000000001,0.9842000000000001,63
C.9,0.9667,0.7333999999999999,0.8033999999999999,26
D.2,1.0,0.9999,1.0,10572
D.3,1.0,1.0,1.0,140
E.1,1.0,1.0,1.0,41
F.1,1.0,1.0,1.0,10
G.1,0.9167,0.95,0.93,19
H.1,0.8116,0.5346,0.6289,88
I.1,1.0,0.975,0.9856999999999999,33
J.1,1.0,1.0,1.0,15
K.1,1.0,0.95,0.9667,20
L.1,0.9739000000000001,1.0,0.985,165
L.2,1.0,0.9,0.9221999999999999,48
M.1,1.0,0.9667,0.9800000000000001,60
N.1,1.0,0.95,0.9667,23
N.2,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
N.3,1.0,1.0,1.0,10
N.4,0.7,0.7,0.7,14
B.1.1.119,0.5,0.5,0.5,6
